Customer Index,Age Group,LikelihoodOfReturn,LikelihoodToRefer,OverallExperienceRatin
1,26  To  35 years,Yes,Yes,5
2,26  To  35 years,Yes,Maybe,5
3,16  To  25 years,Yes,Yes,5
4,26  To  35 years,Yes,Yes,5
5,16  To  25 years,Yes,Maybe,5
6,26  To  35 years,Yes,Yes,4
7,26  To  35 years,Yes,Yes,4
8,16  To  25 years,Yes,Yes,5
9,46  To  60 years,Yes,Maybe,4
10,16  To  25 years,Yes,Maybe,4
11,26  To  35 years,Yes,Yes,5
12,36  To  45 years,Yes,Yes,5
13,26  To  35 years,Yes,Yes,5
14,26  To  35 years,Maybe,Maybe,4
15,16  To  25 years,Yes,Yes,5
16,36  To  45 years,Yes,Maybe,4
17,36  To  45 years,Yes,Maybe,4
18,26  To  35 years,Yes,Maybe,4
19,26  To  35 years,Yes,Maybe,3
20,36  To  45 years,Yes,Yes,5
21,16  To  25 years,Yes,Maybe,5
22,16  To  25 years,Yes,Maybe,4
23,26  To  35 years,Yes,Yes,5
24,16  To  25 years,Yes,Maybe,4
25,16  To  25 years,Yes,Maybe,4
26,16  To  25 years,Yes,Yes,5
27,16  To  25 years,Yes,Maybe,5
28,26  To  35 years,Yes,Yes,5
29,26  To  35 years,Yes,Yes,5
30,16  To  25 years,Yes,Maybe,4
31,16  To  25 years,Yes,Maybe,4
32,16  To  25 years,Yes,Maybe,4
33,26  To  35 years,Yes,Yes,4
34,16  To  25 years,Yes,Yes,4
35,26  To  35 years,Yes,Yes,5
36,16  To  25 years,Yes,Yes,4
37,16  To  25 years,Yes,Maybe,4
38,16  To  25 years,Yes,Maybe,5
39,26  To  35 years,Yes,Yes,5
40,26  To  35 years,Yes,Yes,5
41,16  To  25 years,Yes,Yes,5
42,36  To  45 years,Yes,Yes,4
43,16  To  25 years,Yes,Maybe,5
44,16  To  25 years,Yes,Yes,5
45,36  To  45 years,Yes,Maybe,5
46,36  To  45 years,Yes,Yes,5
47,16  To  25 years,Yes,Maybe,5
48,16  To  25 years,Yes,Yes,5
49,16  To  25 years,Yes,Maybe,4
50,36  To  45 years,Maybe,Maybe,3
51,26  To  35 years,Yes,Yes,5
52,26  To  35 years,Yes,Yes,4
53,16  To  25 years,Yes,Maybe,4
54,16  To  25 years,Yes,Yes,5
55,16  To  25 years,Maybe,Maybe,4
56,26  To  35 years,Yes,Maybe,4
57,26  To  35 years,Yes,Yes,5
58,26  To  35 years,Yes,Yes,3
59,26  To  35 years,Yes,Yes,4
60,16  To  25 years,Yes,Yes,5
61,26  To  35 years,Yes,Yes,4
62,26  To  35 years,Yes,Yes,5
63,26  To  35 years,Maybe,Yes,4
64,26  To  35 years,Maybe,Yes,4
65,36  To  45 years,Maybe,Yes,4
66,36  To  45 years,Yes,Yes,5
67,16  To  25 years,Yes,Yes,5
68,16  To  25 years,Yes,Yes,5
69,16  To  25 years,Yes,Yes,4
70,16  To  25 years,Yes,Yes,5
71,16  To  25 years,Yes,Yes,4
72,16  To  25 years,Maybe,Maybe,4
73,26  To  35 years,Maybe,Yes,3
74,16  To  25 years,Maybe,Maybe,4
75,16  To  25 years,Yes,Yes,4
76,16  To  25 years,Maybe,Maybe,4
77,26  To  35 years,Yes,Yes,5
78,26  To  35 years,Maybe,Maybe,4
79,16  To  25 years,Yes,Yes,4
80,16  To  25 years,Maybe,Maybe,4
81,16  To  25 years,Maybe,Maybe,4
82,16  To  25 years,Yes,Yes,4
83,16  To  25 years,Maybe,Maybe,4
84,26  To  35 years,Maybe,Yes,4
85,16  To  25 years,Maybe,Maybe,4
86,16  To  25 years,Yes,Yes,5
87,16  To  25 years,Yes,Yes,5
88,16  To  25 years,Maybe,Maybe,4
89,46  To  60 years,Yes,Yes,4
90,16  To  25 years,Yes,Yes,5
91,16  To  25 years,Maybe,Maybe,3
92,16  To  25 years,Yes,Yes,4
93,16  To  25 years,Yes,Maybe,4
94,26  To  35 years,Maybe,Yes,4
95,16  To  25 years,Maybe,Maybe,4
96,16  To  25 years,Yes,Yes,4
97,26  To  35 years,Yes,Yes,5
98,16  To  25 years,Yes,Yes,5
99,26  To  35 years,Yes,Yes,5
