Customer Index,Age Group,OverallExperienceRatin
1,16  To  25 years,4
2,16  To  25 years,3
3,16  To  25 years,2
4,16  To  25 years,3
5,16  To  25 years,1
6,16  To  25 years,5
7,16  To  25 years,2
8,16  To  25 years,2
9,16  To  25 years,1
10,16  To  25 years,5
11,16  To  25 years,5
12,16  To  25 years,2
13,16  To  25 years,4
14,16  To  25 years,4
15,16  To  25 years,4
16,16  To  25 years,3
17,16  To  25 years,4
18,16  To  25 years,5
19,16  To  25 years,3
20,16  To  25 years,5
21,16  To  25 years,5
22,16  To  25 years,2
23,16  To  25 years,5
24,16  To  25 years,4
25,16  To  25 years,4
26,16  To  25 years,5
27,16  To  25 years,4
28,16  To  25 years,3
29,16  To  25 years,3
30,16  To  25 years,5
31,16  To  25 years,4
32,16  To  25 years,5
33,16  To  25 years,4
34,16  To  25 years,2
35,16  To  25 years,4
36,16  To  25 years,2
37,16  To  25 years,2
38,16  To  25 years,4
39,16  To  25 years,3
40,16  To  25 years,3
41,16  To  25 years,4
42,16  To  25 years,4
43,16  To  25 years,2
44,16  To  25 years,5
45,16  To  25 years,2
46,16  To  25 years,1
47,16  To  25 years,5
48,16  To  25 years,3
49,16  To  25 years,4
50,16  To  25 years,4
51,16  To  25 years,4
52,16  To  25 years,4
53,16  To  25 years,5
54,16  To  25 years,5
55,16  To  25 years,5
56,16  To  25 years,5
57,16  To  25 years,4
58,16  To  25 years,5
59,16  To  25 years,5
60,16  To  25 years,4
61,16  To  25 years,4
62,16  To  25 years,4
63,16  To  25 years,5
64,16  To  25 years,5
65,16  To  25 years,4
66,16  To  25 years,4
67,16  To  25 years,4
68,16  To  25 years,4
69,16  To  25 years,4
70,16  To  25 years,4
71,16  To  25 years,5
72,16  To  25 years,5
73,16  To  25 years,5
74,16  To  25 years,5
75,16  To  25 years,5
76,16  To  25 years,5
77,16  To  25 years,4
78,16  To  25 years,4
79,16  To  25 years,5
80,16  To  25 years,4
81,16  To  25 years,5
82,16  To  25 years,5
83,16  To  25 years,5
84,16  To  25 years,4
85,16  To  25 years,5
86,16  To  25 years,4
87,16  To  25 years,4
88,16  To  25 years,4
89,16  To  25 years,4
90,16  To  25 years,4
91,16  To  25 years,4
92,16  To  25 years,4
93,16  To  25 years,4
94,16  To  25 years,4
95,16  To  25 years,4
96,16  To  25 years,4
97,16  To  25 years,5
98,16  To  25 years,5
99,16  To  25 years,4
100,16  To  25 years,5
101,16  To  25 years,3
102,16  To  25 years,4
103,16  To  25 years,4
104,16  To  25 years,4
105,16  To  25 years,4
106,16  To  25 years,5
107,26  To  35 years,5
108,26  To  35 years,5
109,26  To  35 years,5
110,26  To  35 years,1
111,26  To  35 years,4
112,26  To  35 years,5
113,26  To  35 years,3
114,26  To  35 years,3
115,26  To  35 years,4
116,26  To  35 years,3
117,26  To  35 years,5
118,26  To  35 years,5
119,26  To  35 years,5
120,26  To  35 years,4
121,26  To  35 years,2
122,26  To  35 years,5
123,26  To  35 years,5
124,26  To  35 years,5
125,26  To  35 years,4
126,26  To  35 years,4
127,26  To  35 years,5
128,26  To  35 years,3
129,26  To  35 years,4
130,26  To  35 years,4
131,26  To  35 years,5
132,26  To  35 years,4
133,26  To  35 years,4
134,26  To  35 years,3
135,26  To  35 years,5
136,26  To  35 years,4
137,26  To  35 years,4
138,26  To  35 years,4
139,26  To  35 years,5
140,26  To  35 years,5
141,26  To  35 years,5
142,26  To  35 years,5
143,26  To  35 years,5
144,26  To  35 years,4
145,26  To  35 years,4
146,26  To  35 years,5
147,26  To  35 years,5
148,26  To  35 years,4
149,26  To  35 years,4
150,26  To  35 years,3
151,26  To  35 years,5
152,26  To  35 years,5
153,26  To  35 years,5
154,26  To  35 years,4
155,26  To  35 years,5
156,26  To  35 years,5
157,26  To  35 years,5
158,26  To  35 years,5
159,26  To  35 years,4
160,26  To  35 years,4
161,26  To  35 years,4
162,26  To  35 years,3
163,26  To  35 years,4
164,26  To  35 years,4
165,26  To  35 years,5
166,26  To  35 years,2
167,26  To  35 years,4
168,26  To  35 years,3
169,26  To  35 years,5
170,26  To  35 years,4
171,26  To  35 years,4
172,26  To  35 years,4
173,26  To  35 years,5
174,26  To  35 years,5
175,36  To  45 years,5
176,36  To  45 years,4
177,36  To  45 years,4
178,36  To  45 years,5
179,36  To  45 years,4
180,36  To  45 years,5
181,36  To  45 years,5
182,36  To  45 years,3
183,36  To  45 years,4
184,36  To  45 years,5
185,36  To  45 years,5
186,36  To  45 years,4
187,36  To  45 years,4
188,36  To  45 years,5
189,36  To  45 years,4
190,36  To  45 years,5
191,36  To  45 years,5
192,36  To  45 years,3
193,36  To  45 years,4
194,36  To  45 years,5
195,46  To  60 years,4
196,46  To  60 years,3
197,46  To  60 years,4
198,46  To  60 years,4
199,46  To  60 years,2
200,46  To  60 years,2
201,46  To  60 years,4
202,46  To  60 years,4
203,46  To  60 years,4
204,46  To  60 years,4
205,46  To  60 years,2
206,46  To  60 years,2
207,46  To  60 years,2
208,46  To  60 years,2
209,46  To  60 years,2
210,46  To  60 years,2
211,46  To  60 years,2
212,46  To  60 years,2
213,46  To  60 years,2
214,46  To  60 years,2
215,46  To  60 years,2
216,46  To  60 years,2
217,46  To  60 years,4
218,46  To  60 years,2
219,46  To  60 years,2
220,46  To  60 years,4
221,46  To  60 years,2
222,46  To  60 years,2
223,46  To  60 years,5
224,46  To  60 years,5
225,46  To  60 years,5
